No,TypeQuestion,ContentQuestion,TypeAnswer,0,1,2,3,CorrectAnswer
0,text,Bạn có buồn ngủ chưa nè?,text,Chưa,Tui ngủ luôn rồi,Cũng chưa,Deadline lẹ lên,-1
1,text,ABC...?,text,A,D,B,S,-1
2,text,My name is ...,text,Yến,Ai biết,Không biết thiệt,Mực,-1
3,text,PPP,text,3,4,5,6,-1
4,text,2 3 con mực,text,Chiên lên,Thôi ăn nướng à,Ăn sống luôn,Ulatr,-1
5,text,Én lịch,text,Tiếng anh,Pháp,Nga,Trung,-1
6,text,Hello,text,is it me do you looking for,chào,Xin chào cho lịch sự,Không chào ha,-1
7,text,Việt Nam,text,Việt Nam,Đất nước ngàn năm văn hiến,Đi đâu cũng gặp m,Sài gòn,-1
8,text,Mệt nha,text,uh, đúng mệt,Ulatr,Đi ngủ,-1
9,text,,text,,,,,-1
